"Position","Name","Age Group","Flag","time","Global ranking points","id"
"#27","GIROD Olivier",NA,NA,"3:35.00,4","N/A",1258
"#28","CAZAUX Baptiste",NA,NA,"3:37.19,5","N/A",1258
"#29","Borgeot Rémi",NA,NA,"3:37.24,3","N/A",1258
"#30","Alamome Simon",NA,NA,"3:37.25,4","N/A",1258
"#31","LOY Sylvain",NA,NA,"3:37.28,1","N/A",1258
"#32","Grosdidier Rémy",NA,NA,"3:37.29,8","N/A",1258
"#33","DUPONT Jean-Christophe",NA,NA,"3:37.57,3","N/A",1258
"#34","ROGNON Alexandre",NA,NA,"3:38.10,5","N/A",1258
"#35","Belingheri Pierre",NA,NA,"3:39.25,8","N/A",1258
"#36","BREYTON Gaetan",NA,NA,"3:39.27,7","N/A",1258
"#37","Guyon Arnaud",NA,NA,"3:40.56,6","N/A",1258
"#38","BAILLY Grégory",NA,NA,"3:42.05,3","N/A",1258
"#39","Greusard Florian",NA,NA,"3:42.05,6","N/A",1258
"#40","BOUILLET Cédric",NA,NA,"3:42.15,8","N/A",1258
"#41","HENRIKSSON Johan",NA,NA,"3:43.09,0","N/A",1258
"#42","Desseux Marc",NA,NA,"3:44.51,6","N/A",1258
"#43","Devillaz Sacha",NA,NA,"3:45.02,6","N/A",1258
"#44","Delpierre Guillaume",NA,NA,"3:45.03,6","N/A",1258
"#45","Blanchet Christophe",NA,NA,"3:45.23,1","N/A",1258
"#46","MICHET Guillaume",NA,NA,"3:45.43,2","N/A",1258
"#47","AROZENA RIVEIRA Haritz",NA,NA,"3:45.53,0","N/A",1258
"#48","Chapius Patrice",NA,NA,"3:46.24,5","N/A",1258
"#49","Philippot Romuald",NA,NA,"3:46.50,9","N/A",1258
"#50","Lalevee Guillaume",NA,NA,"3:47.06,6","N/A",1258
"#51","DROZ-VINCENT Jean Baptiste",NA,NA,"3:47.11,2","N/A",1258
"#52","PLISKA Jirí",NA,NA,"3:47.26,7","N/A",1258
"#53","VERJUS Lionel",NA,NA,"3:47.35,7","N/A",1258
"#54","Blanchard Christian",NA,NA,"3:47.46,2","N/A",1258
"#55","REPECAUD Nicolas",NA,NA,"3:48.05,0","N/A",1258
"#56","DELAVELLE Clément",NA,NA,"3:48.07,1","N/A",1258
"#57","Laures Paul",NA,NA,"3:48.08,4","N/A",1258
"#58","Zhukov Andrey",NA,NA,"3:48.12,2","N/A",1258
"#59","RIVES Olivier",NA,NA,"3:48.12,8","N/A",1258
"#60","Bourgeois Lucien",NA,NA,"3:49.23,3","N/A",1258
"#61","DONISCHAL Brice",NA,NA,"3:49.38,8","N/A",1258
"#62","PANIER Florian",NA,NA,"3:49.58,8","N/A",1258
"#63","Romarie Martin",NA,NA,"3:50.03,5","N/A",1258
